 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1771,0,0,0,1657814,936.089,0,824.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1402,0,0,0,1067570,761.462,0,711.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6500,0,0,0,6030033,927.697,0,847.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,985,0,0,0,884012,897.474,0,874.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1305,0,0,0,972792,745.435,0,727.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2740,0,0,0,3288959,1200.350,0,1066.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3366,0,0,0,3269975,971.472,0,870.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4064,0,0,0,3661044,900.847,0,832.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1959,0,0,0,1532441,782.257,0,755.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3903,0,0,0,3957358,1013.927,0,884.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4416,0,0,0,6041383,1368.067,0,1230.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1174,0,0,0,1099957,936.931,0,888.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1475,0,0,0,1373204,930.986,0,885.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1860,0,0,0,2018381,1085.151,0,1046.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,735,0,0,0,586228,797.589,0,783.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7876,0,0,0,9614700,1220.759,0,1089.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1544,0,0,0,1527930,989.592,0,915.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1817,0,0,0,2630775,1447.867,0,1393.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1127,0,0,0,1537414,1364.165,0,1254.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1582,0,0,0,1171705,740.648,0,712.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9647,0,0,0,10340470,1071.885,0,943.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1211,0,0,0,1022594,844.421,0,797.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2337,0,0,0,2076868,888.690,0,887.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,112,0,0,0,108271,966.705,0,936.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3262,0,0,0,4288958,1314.825,0,1238.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,13,0,0,0,18113,1393.308,0,1218.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1983,0,0,0,1912587,964.492,0,976.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1721,0,0,0,1962855,1140.532,0,1063.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3269,0,0,0,3058612,935.641,0,924.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1430,0,0,0,1095835,766.318,0,724.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12,0,0,0,33699,2808.250,0,2912.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,504,0,0,0,541345,1074.097,0,1016.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1742,0,0,0,1513252,868.687,0,822.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2937,0,0,0,2383100,811.406,0,761.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1059,0,0,0,1064142,1004.856,0,938.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2086,0,0,0,2004151,960.763,0,949.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
