 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,13,0,0,0,2745,211.154,0,212.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,263588,0,0,0,55709440,211.350,0,211.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2501,0,0,0,529185,211.589,0,212.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,0,0,0,2101,210.100,0,210.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9649,0,0,0,2019833,209.331,0,209.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,0,0,0,2545,212.083,0,214.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,0,0,0,4609,209.500,0,209.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,0,0,0,2496,208.000,0,208.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16,0,0,0,3372,210.750,0,211.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,0,2119,211.900,0,211.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,2259,205.364,0,206.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,31743,0,0,0,6695366,210.924,0,211.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,0,0,0,2119,211.900,0,210.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16,0,0,0,3364,210.250,0,209.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,19,0,0,0,4007,210.895,0,210.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,0,0,0,2129,212.900,0,211.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
