"","Geneid","2i_counts","S_counts"
"1","0610005C13Rik",15,22.5
"2","0610006L08Rik",0,0.5
"3","0610009B22Rik",469.5,494.5
"4","0610009E02Rik",2.5,1
"5","0610009L18Rik",9,3.5
"6","0610010F05Rik",284,686.5
"7","0610010K14Rik",27.5,25.5
"8","0610012D04Rik",0,0.5
"9","0610012G03Rik",630,425.5
"10","0610025J13Rik",0,0.5
"11","0610030E20Rik",510,523.5
"12","0610031O16Rik",0,1
"13","0610033M10Rik",2.5,0
"14","0610038B21Rik",3.5,10.5
"15","0610039K10Rik",1.5,1.5
"16","0610040B10Rik",18.5,16
"17","0610040F04Rik",9,9
"18","0610040J01Rik",22,89.5
"19","0610043K17Rik",5.5,2
"20","0710001A04Rik",0.5,0
"21","1010001B22Rik",0.5,3.5
"22","1100001I12Rik",0,0
"23","1110002E22Rik",0.5,3
"24","1110002J07Rik",117,40.5
"25","1110002L01Rik",103,237.5
"26","1110002O04Rik",3,0
"27","1110003F10Rik",2.5,1
"28","1110004F10Rik",1737,2266.5
"29","1110006O24Rik",7,7.5
"30","1110008E08Rik",0,0
"31","1110008P14Rik",244,221.5
"32","1110012L19Rik",427,625
"33","1110013H19Rik",1,0.5
"34","1110015O18Rik",0,0
"35","1110017D15Rik",0.5,0.5
"36","1110018N20Rik",0,0
"37","1110019B22Rik",6,1
"38","1110019D14Rik",4.5,5
"39","1110020A21Rik",2.5,5.5
"40","1110025L11Rik",0,0
"41","1110025M09Rik",9.5,9
"42","1110028F11Rik",0,0.5
"43","1110028F18Rik",1,0
"44","1110032A03Rik",93.5,112.5
"45","1110032F04Rik",20,39.5
"46","1110035H17Rik",8.5,2.5
"47","1110038B12Rik",2130.5,1775
"48","1110038F14Rik",1054.5,782
"49","1110046J04Rik",0.5,1
"50","1110051M20Rik",349,222
"51","1110057P08Rik",0,0
"52","1110059E24Rik",795,676
"53","1110059G10Rik",180,199.5
"54","1110060G06Rik",0,0
"55","1110065P20Rik",131.5,144.5
"56","1190001M18Rik",0,0
"57","1190005I06Rik",9,63
"58","1190007I07Rik",272.5,172.5
"59","1190028D05Rik",0,0
"60","1200007C13Rik",0,0
"61","1300002E11Rik",135,44.5
"62","1300014J16Rik",0,5.5
"63","1300017J02Rik",24,8.5
"64","1500002C15Rik",12.5,21
"65","1500002F19Rik",2,1
"66","1500004A13Rik",58.5,77
"67","1500005C15Rik",0,0
"68","1500009C09Rik",16,8.5
"69","1500009L16Rik",187.5,747.5
"70","1500011B03Rik",193,213.5
"71","1500012K07Rik",0,0
"72","1500015A07Rik",166,139
"73","1500015L24Rik",0,0
"74","1500026H17Rik",1.5,0.5
"75","1500032F14Rik",0.5,0
"76","1500035N22Rik",0,0
"77","1520401A03Rik",19.5,14.5
"78","1600002D24Rik",1,0.5
"79","1600010M07Rik",0.5,0.5
"80","1600012H06Rik",582,645.5
"81","1600012P17Rik",0,0
"82","1600014C10Rik",202,191.5
"83","1600014C23Rik",0,0.5
"84","1600017P15Rik",0.5,0.5
"85","1600019K03Rik",0,0
"86","1600020E01Rik",264.5,104
"87","1600022D10Rik",0,0
"88","1600023N17Rik",2.5,2
"89","1600025M17Rik",0,1.5
"90","1600027J07Rik",0,0
"91","1600029O15Rik",0.5,0
"92","1700001C19Rik",3.5,7
"93","1700001D01Rik",0,0
"94","1700001F09Rik",0,0
"95","1700001G01Rik",0,0
"96","1700001G11Rik",5.5,3.5
"97","1700001G17Rik",1.5,3
"98","1700001J03Rik",1.5,2
"99","1700001J04Rik",0,0
"100","1700001J11Rik",4,8.5
"101","1700001K19Rik",2,3
"102","1700001K23Rik",2,2
"103","1700001L05Rik",1141,646
"104","1700001L19Rik",14.5,6
"105","1700001N15Rik",0,0
"106","1700001O22Rik",60.5,27
"107","1700001P01Rik",52,8
"108","1700003C15Rik",0,0
"109","1700003D09Rik",0,0
"110","1700003E16Rik",28,47
"111","1700003E24Rik",0,0.5
"112","1700003F12Rik",5.5,14
"113","1700003G18Rik",0.5,1
"114","1700003H04Rik",0,0
"115","1700003I16Rik",0,0
"116","1700003I22Rik",0,0
"117","1700003L19Rik",0,0
"118","1700003M07Rik",6.5,4.5
"119","1700003N22Rik",48.5,106.5
"120","1700003O11Rik",0,0
"121","1700003P14Rik",0,0
"122","1700006A11Rik",0,0
"123","1700006F04Rik",0,0
"124","1700006H21Rik",0.5,0
"125","1700006J14Rik",2,2.5
"126","1700006P03Rik",0,0
"127","1700007E05Rik",2.5,0.5
"128","1700007F19Rik",0,0
"129","1700007H22Rik",0,0
"130","1700007J10Rik",10.5,11
"131","1700007K13Rik",442.5,412.5
"132","1700007L15Rik",50.5,59
"133","1700007M16Rik",0.5,0
"134","1700007P06Rik",0,0
"135","1700008A23Rik",0.5,0
"136","1700008B11Rik",1,1.5
"137","1700008C04Rik",0.5,0
"138","1700008H02Rik",0,0
"139","1700008J07Rik",9,12.5
"140","1700008K24Rik",0,0
"141","1700008N11Rik",0,0
"142","1700008O03Rik",75,39.5
"143","1700008P02Rik",0,0
"144","1700009C05Rik",0.5,0.5
"145","1700009J07Rik",0,0
"146","1700009N14Rik",0,1
"147","1700010B08Rik",0,0
"148","1700010B13Rik",0,0
"149","1700010D01Rik",0.5,0
"150","1700010G06Rik",0.5,0
"151","1700010H22Rik",0,0.5
"152","1700010I02Rik",0,0
"153","1700010I14Rik",22.5,18.5
"154","1700010J16Rik",0,0
"155","1700010K23Rik",0,0
"156","1700010K24Rik",0.5,1
"157","1700010L04Rik",1,1
"158","1700010N08Rik",3,3.5
"159","1700011B04Rik",0,0
"160","1700011C11Rik",0,0
"161","1700011D18Rik",0.5,0
"162","1700011L03Rik",0,0
"163","1700011L22Rik",0.5,0
"164","1700011M02Rik",2,0.5
"165","1700012A03Rik",0,0
"166","1700012B07Rik",6.5,0.5
"167","1700012B09Rik",0,0.5
"168","1700012C08Rik",0,0
"169","1700012C14Rik",1.5,2.5
"170","1700012D14Rik",19.5,16
"171","1700012D16Rik",0,0
"172","1700012E03Rik",0,0
"173","1700012I11Rik",0,0
"174","1700012J15Rik",0,0
"175","1700012J22Rik",0,0
"176","1700012P22Rik",0,0
"177","1700013A02Rik",0.5,0
"178","1700013D24Rik",0,0
"179","1700013F07Rik",0.5,1
"180","1700013G24Rik",1.5,2.5
"181","1700013H16Rik",66,24
"182","1700013M08Rik",0,0
"183","1700013N06Rik",0,0
"184","1700014D04Rik",8,8.5
"185","1700014F14Rik",0,0
"186","1700014L14Rik",0,0
"187","1700015C15Rik",0,0
"188","1700015C17Rik",0,0
"189","1700015F17Rik",0,0
"190","1700015G11Rik",0,0
"191","1700015H07Rik",0,0
"192","1700015I17Rik",0,0
"193","1700015O11Rik",0,0
"194","1700016A09Rik",1,1
"195","1700016B01Rik",0,0
"196","1700016B15Rik",5,3
"197","1700016C15Rik",1,2.5
"198","1700016D06Rik",53,0.5
"199","1700016D08Rik",0,0
"200","1700016F12Rik",0,0
"201","1700016G22Rik",2.5,0.5
"202","1700016H03Rik",0.5,0
"203","1700016H13Rik",4,3.5
"204","1700016J18Rik",0.5,0.5
"205","1700016K05Rik",0,0
"206","1700016K19Rik",3.5,8.5
"207","1700016L21Rik",0,0
"208","1700016P03Rik",0,0.5
"209","1700016P04Rik",0,0
"210","1700017B05Rik",1551.5,2357.5
"211","1700017G19Rik",0,0
"212","1700017I07Rik",0,0
"213","1700017J07Rik",2,0
"214","1700017L05Rik",0,0
"215","1700017M07Rik",0,0.5
"216","1700017N19Rik",0,0
"217","1700018A04Rik",0.5,0
"218","1700018A14Rik",0,1
"219","1700018A23Rik",4,1.5
"220","1700018B08Rik",9,1
"221","1700018B24Rik",3.5,2
"222","1700018F24Rik",0,0
"223","1700018G05Rik",0.5,0.5
"224","1700018L02Rik",2,5
"225","1700018M17Rik",0.5,0
"226","1700018P08Rik",0,0
"227","1700019A02Rik",3.5,5
"228","1700019A23Rik",0.5,3.5
"229","1700019C18Rik",0,0.5
"230","1700019D03Rik",1008,790.5
"231","1700019E08Rik",0,0.5
"232","1700019F05Rik",0.5,0
"233","1700019G24Rik",0,0
"234","1700019J19Rik",0,0
"235","1700019L13Rik",4,19.5
"236","1700019M22Rik",0,0
"237","1700019N19Rik",0,0
"238","1700019P21Rik",0,0
"239","1700020A23Rik",0,0.5
"240","1700020D05Rik",7.5,7
"241","1700020D12Rik",0,0
"242","1700020G03Rik",0.5,1
"243","1700020G17Rik",0,0
"244","1700020L24Rik",3.5,6
"245","1700020M21Rik",0,0
"246","1700020N01Rik",11.5,8.5
"247","1700020N15Rik",1,2
"248","1700020N18Rik",0,0
"249","1700021A07Rik",14.5,1.5
"250","1700021F02Rik",0,0
"251","1700021F07Rik",0,0
"252","1700021F13Rik",0,0
"253","1700021G15Rik",0,0
"254","1700021J08Rik",3,4
"255","1700021L23Rik",0,0
"256","1700021N21Rik",1,1
"257","1700021P04Rik",0,0
"258","1700022A21Rik",7.5,0
"259","1700022A22Rik",0,0
"260","1700022E09Rik",0,0
"261","1700022H01Rik",0,0.5
"262","1700022H16Rik",0,0
"263","1700022I11Rik",1.5,0
"264","1700022N22Rik",8,10.5
"265","1700023B13Rik",45,11
"266","1700023C21Rik",0,0
"267","1700023F02Rik",0,0
"268","1700023G09Rik",0,0
"269","1700023H06Rik",1,1
"270","1700024B05Rik",16,1
"271","1700024B18Rik",0,0
"272","1700024G13Rik",0,6.5
"273","1700024I08Rik",0,0
"274","1700024J04Rik",15.5,1.5
"275","1700025A08Rik",0,2.5
"276","1700025B11Rik",0,0
"277","1700025C18Rik",0,0
"278","1700025D23Rik",0,0
"279","1700025F24Rik",0,4
"280","1700025G04Rik",404.5,480
"281","1700025H01Rik",0,0.5
"282","1700025J12Rik",0,0
"283","1700025K04Rik",0,0
"284","1700025K24Rik",0,0
"285","1700025L06Rik",0,0.5
"286","1700025M24Rik",0,0
"287","1700025N21Rik",0,0
"288","1700025N23Rik",0,0
"289","1700025O08Rik",0,0
"290","1700026D11Rik",0.5,0
"291","1700026F02Rik",2.5,1
"292","1700026J12Rik",0,0
"293","1700026J14Rik",0,0
