 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,19764,0,0,0,54365168,2750.717,0,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19877,0,0,0,25697358,1292.819,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,0,0,0,27749,1067.269,0,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18645,0,0,0,27035064,1449.990,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1401,0,0,0,3110182,2219.973,0,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40619,0,0,0,69554056,1712.353,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,68697,0,0,0,90341664,1315.074,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38303,0,0,0,33252852,868.153,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30362,0,0,0,17349300,571.415,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26585,0,0,0,16811476,632.367,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,45242,0,0,0,86045784,1901.901,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16567,0,0,0,30993236,1870.781,0,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17771,0,0,0,32171768,1810.352,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,33,0,0,0,56914,1724.667,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,21307,0,0,0,37208368,1746.298,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
